iter	Passed	Remaining
0	69	69440
1	121	60393
2	277	92134
3	331	82559
4	374	74616
5	417	69175
6	461	65482
7	511	63478
8	558	61536
9	604	59825
10	648	58282
11	692	57003
12	757	57516
13	832	58620
14	910	59798
15	985	60578
16	1048	60622
17	1121	61186
18	1179	60877
19	1228	60178
20	1279	59656
21	1327	59022
22	1470	62478
23	1522	61931
24	1578	61549
25	1629	61039
26	1682	60625
27	1729	60026
28	1780	59611
29	1833	59271
30	1878	58725
31	1920	58101
32	1970	57747
33	2020	57408
34	2066	56980
35	2115	56645
36	2167	56422
37	2219	56198
38	2262	55746
39	2309	55429
40	2357	55132
41	2406	54902
42	2452	54582
43	2499	54308
44	2547	54056
45	2595	53818
46	2642	53573
47	2694	53445
48	2741	53198
49	2784	52903
50	2833	52733
51	2887	52640
52	2940	52538
53	2989	52363
54	3036	52164
55	3081	51946
56	3131	51808
57	3177	51612
58	3219	51353
59	3262	51114
60	3306	50894
61	3349	50673
62	3392	50462
63	3434	50229
64	3478	50036
65	3521	49837
66	3570	49722
67	3617	49576
68	3660	49384
69	3702	49194
70	3745	49006
71	3788	48824
72	3841	48779
73	3886	48627
74	3931	48489
75	3976	48341
76	4017	48159
77	4058	47979
78	4098	47782
79	4141	47621
80	4183	47465
81	4228	47333
82	4271	47196
83	4376	47719
84	4444	47847
85	4490	47727
86	4535	47591
87	4585	47523
88	4628	47373
89	4671	47233
90	4711	47059
91	4754	46921
92	4796	46780
93	4847	46721
94	4897	46658
95	4939	46516
96	4980	46362
97	5022	46230
98	5064	46088
99	5105	45950
100	5146	45810
101	5191	45709
102	5233	45575
103	5272	45425
104	5314	45296
105	5353	45153
106	5406	45117
107	5448	45000
108	5490	44883
109	5530	44749
110	5571	44620
111	5612	44500
112	5654	44383
113	5695	44268
114	5736	44146
115	5777	44031
116	5819	43916
117	5859	43794
118	5911	43768
119	5952	43648
120	5992	43533
121	6034	43426
122	6075	43320
123	6117	43214
124	6159	43114
125	6199	43005
126	6240	42896
127	6280	42787
128	6323	42693
129	6364	42593
130	6408	42508
131	6491	42684
132	6533	42588
133	6574	42488
134	6613	42377
135	6654	42278
136	6696	42180
137	6736	42079
138	6778	41984
139	6819	41891
140	6863	41811
141	6904	41717
142	6947	41634
143	6989	41548
144	7030	41455
145	7072	41366
146	7113	41277
147	7156	41198
148	7201	41128
149	7247	41068
150	7308	41091
151	7351	41015
152	7392	40926
153	7433	40834
154	7485	40806
155	7539	40788
156	7600	40809
157	7662	40831
158	7711	40786
159	7760	40744
160	7807	40684
161	7852	40619
162	7892	40526
163	7934	40447
164	7976	40365
165	8017	40282
166	8059	40202
167	8103	40132
